
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.0.2)

2025-06-10T15:28:49.364Z  INFO 2652 --- [           main] .s.r.e.SpringBoot2RestServiceApplication : Starting SpringBoot2RestServiceApplication v0.0.1-SNAPSHOT using Java 17.0.15 with PID 2652 (/home/ubuntu/spring-boot-examples/spring-boot-2-rest-service-basic/target/spring-boot-2-rest-service-basic-0.0.1-SNAPSHOT.jar started by ubuntu in /home/ubuntu/spring-boot-examples/spring-boot-2-rest-service-basic)
2025-06-10T15:28:49.373Z  INFO 2652 --- [           main] .s.r.e.SpringBoot2RestServiceApplication : No active profile set, falling back to 1 default profile: "default"
2025-06-10T15:28:51.594Z  INFO 2652 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-10T15:28:51.703Z  INFO 2652 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 97 ms. Found 1 JPA repository interfaces.
2025-06-10T15:28:53.048Z  INFO 2652 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2025-06-10T15:28:53.063Z  INFO 2652 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-06-10T15:28:53.063Z  INFO 2652 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-06-10T15:28:53.334Z  INFO 2652 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-06-10T15:28:53.341Z  INFO 2652 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3837 ms
2025-06-10T15:28:53.580Z  INFO 2652 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-06-10T15:28:53.925Z  INFO 2652 --- [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2025-06-10T15:28:53.927Z  INFO 2652 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-06-10T15:28:53.950Z  INFO 2652 --- [           main] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2025-06-10T15:28:54.767Z  INFO 2652 --- [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-10T15:28:54.881Z  INFO 2652 --- [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.1.6.Final
2025-06-10T15:28:55.203Z  WARN 2652 --- [           main] org.hibernate.orm.deprecation            : HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
